,Q26,Q27,Q28,Q30A1,Q30A4,Q30A5,Q31A1,Q32A1,Q32A3,Q32A4,Q32A5,Q32A6,Q33A1,Q33A3,Q33A4,Q33A7,Q33A8
139,0.4850026896104595,3.5,4.5,4.5,3.0,3.0,1.0,1.5,1.5,3.0,4.5,3.0,1.5,0.0,1.5,0.0,0.0
140,-0.7781937168921504,3.5,3.0,4.5,4.5,3.0,2.0,4.5,4.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5
141,-0.7781937168921504,3.5,4.5,4.5,3.0,4.5,1.0,1.5,3.0,1.5,1.5,3.0,0.0,4.5,1.5,1.5,4.5
142,-0.7781937168921504,3.5,3.0,4.5,4.5,1.5,1.0,1.5,3.0,3.0,1.5,1.5,1.5,1.5,0.0,0.0,4.5
143,-0.7781937168921504,3.5,3.0,4.5,3.0,4.5,2.0,3.0,1.5,1.5,1.5,3.0,4.5,1.5,0.0,1.5,0.0
144,-0.7781937168921504,3.5,4.5,4.5,3.0,3.0,1.0,1.5,1.5,3.0,1.5,3.0,0.0,0.0,1.5,4.5,1.5
145,-0.7781937168921504,5.5,1.5,3.0,1.5,4.5,2.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5
146,0.4850026896104595,3.5,4.5,4.5,3.0,3.0,3.0,4.5,3.0,1.5,1.5,1.5,4.5,1.5,1.5,0.0,4.5
147,0.4850026896104595,1.5,4.5,4.5,4.5,4.5,1.0,3.0,4.5,3.0,1.5,1.5,0.0,4.5,1.5,1.5,1.5
148,-0.7781937168921504,3.5,1.5,4.5,3.0,3.0,1.0,1.5,1.5,3.0,1.5,3.0,1.5,0.0,4.5,1.5,0.0
149,0.4850026896104595,5.5,1.5,4.5,1.5,4.5,2.0,1.5,3.0,1.5,3.0,1.5,1.5,0.0,0.0,0.0,4.5
150,-0.7781937168921504,3.5,1.5,4.5,3.0,3.0,1.0,1.5,3.0,4.5,3.0,1.5,1.5,1.5,0.0,4.5,0.0
151,-0.7781937168921504,3.5,1.5,4.5,3.0,4.5,1.0,1.5,3.0,1.5,1.5,1.5,4.5,1.5,1.5,1.5,1.5
152,-0.7781937168921504,5.5,1.5,3.0,1.5,3.0,2.0,1.5,1.5,1.5,3.0,1.5,1.5,1.5,0.0,1.5,1.5
153,-0.7781937168921504,5.5,3.0,4.5,1.5,3.0,2.0,3.0,1.5,1.5,3.0,4.5,0.0,1.5,4.5,0.0,1.5
154,0.4850026896104595,3.5,4.5,4.5,3.0,3.0,2.0,4.5,1.5,3.0,1.5,4.5,4.5,0.0,4.5,1.5,4.5
155,0.4850026896104595,3.5,4.5,4.5,3.0,4.5,1.0,3.0,3.0,4.5,4.5,1.5,4.5,4.5,1.5,1.5,4.5
156,-0.7781937168921504,5.5,3.0,4.5,1.5,1.5,1.0,1.5,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5,0.0
157,-0.7781937168921504,3.5,1.5,4.5,1.5,3.0,1.0,3.0,3.0,3.0,1.5,1.5,1.5,0.0,1.5,0.0,0.0
158,-0.7781937168921504,3.5,4.5,4.5,3.0,4.5,1.0,1.5,3.0,3.0,1.5,1.5,0.0,0.0,1.5,1.5,4.5
159,0.4850026896104595,3.5,4.5,4.5,1.5,1.5,1.0,3.0,1.5,3.0,1.5,3.0,1.5,1.5,1.5,1.5,4.5
160,1.7481990961130693,3.5,3.0,4.5,3.0,3.0,1.0,1.5,1.5,1.5,1.5,3.0,1.5,0.0,1.5,1.5,1.5
161,-0.7781937168921504,3.5,3.0,4.5,4.5,4.5,1.0,1.5,3.0,3.0,1.5,1.5,1.5,1.5,4.5,4.5,4.5
162,3.0113955026156796,3.5,3.0,4.5,1.5,1.5,2.0,1.5,3.0,3.0,3.0,3.0,1.5,0.0,0.0,0.0,0.0
163,1.7481990961130693,3.5,3.0,3.0,1.5,3.0,1.0,1.5,3.0,1.5,1.5,1.5,1.5,0.0,0.0,1.5,1.5
164,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,1.5,3.0,0.0,4.5,4.5,0.0,0.0
165,0.4850026896104595,5.5,3.0,4.5,3.0,3.0,1.0,1.5,3.0,4.5,4.5,4.5,1.5,0.0,0.0,0.0,0.0
166,1.7481990961130693,3.5,3.0,4.5,1.5,3.0,1.0,1.5,3.0,1.5,1.5,3.0,1.5,0.0,0.0,1.5,1.5
167,0.4850026896104595,3.5,1.5,4.5,1.5,1.5,1.0,3.0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,1.5,0.0
168,1.7481990961130693,3.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0
169,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,1.5,1.5,0.0,1.5,0.0,1.5,0.0
170,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,3.0,1.5,1.5,1.5,1.5,0.0,1.5,0.0,0.0,0.0
171,-0.7781937168921504,5.5,3.0,3.0,1.5,1.5,1.0,4.5,4.5,4.5,4.5,4.5,1.5,1.5,1.5,1.5,0.0
172,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0
173,0.4850026896104595,3.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,3.0,3.0,1.5,0.0,0.0,1.5,0.0
174,1.7481990961130693,5.5,3.0,4.5,1.5,1.5,1.0,3.0,3.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,0.0
175,0.4850026896104595,3.5,3.0,3.0,1.5,1.5,1.0,3.0,3.0,1.5,1.5,1.5,0.0,0.0,0.0,1.5,0.0
